login,public_repos,followers,following,created_at,updated_at,account_age
MatheusDias10,6,3,4,2024-09-26 20:05:48,2025-05-27 17:25:40,243
rodgomess,7,5,7,2020-09-15 14:45:23,2025-05-02 07:45:05,1715
Guistoper,1,2,4,2024-05-20 21:54:15,2025-04-10 10:48:58,371
MatheusDias10,6,3,4,2024-09-26 20:05:48,2025-05-27 17:25:40,243
MatheusDias10,6,3,4,2024-09-26 20:05:48,2025-05-27 17:25:40,243
MatheusDias10,6,3,4,2024-09-26 20:05:48,2025-05-27 17:25:40,243
MatheusDias10,6,3,4,2024-09-26 20:05:48,2025-05-27 17:25:40,243
rodgomess,7,5,7,2020-09-15 14:45:23,2025-05-02 07:45:05,1715
rodgomess,7,5,7,2020-09-15 14:45:23,2025-05-02 07:45:05,1715
rodgomess,7,5,7,2020-09-15 14:45:23,2025-05-02 07:45:05,1715
